Metric Category,Key Performance Indicator,Target Value,Current Value,Status,Trend,Last Updated,Owner,Action Required,Risk Level
Project Progress,Overall Strategic Planning Progress,100%,35%,On Track,Increasing,2025-08-14,Carla Taylor,Continue Phase 2 stakeholder engagement,Low
Stakeholder Engagement,Stakeholder Response Rate,80%,45%,In Progress,Increasing,2025-08-14,Kate Temby,Increase First Nations outreach,Medium
Framework Implementation,Six Paths Opportunities Identified,6,6,Completed,Stable,2025-08-14,Carla Taylor,Begin feasibility assessment,Low
Strategic Initiatives,Initiative Launch Readiness,100%,50%,On Track,Increasing,2025-08-14,Lauren Cordwell,Finalise resource allocation,Medium
Cultural Safety,First Nations Partnership Framework Progress,100%,25%,In Progress,Increasing,2025-08-14,Lauren Cordwell,Complete cultural consultation phase,Medium-High
Financial Management,Budget Utilisation,95%,12%,Under Budget,Stable,2025-08-14,Kate Temby,Monitor spend alignment with project phases,Low
Timeline Adherence,Milestone Completion Rate,100%,20%,On Schedule,Stable,2025-08-14,Carla Taylor,Ensure Phase 2 timeline adherence,Low
Quality Assurance,Board Satisfaction Score,4.5/5,4.7/5,Exceeding Target,Stable,2025-08-14,Carla Taylor,Maintain high engagement standards,Low
Innovation Metrics,Visual Framework Adoption,100%,85%,On Track,Increasing,2025-08-14,Carla Taylor,Complete template customisation,Low
Risk Management,Overall Project Risk Score,Low,Medium,Managed,Stable,2025-08-14,Lauren Cordwell,Address First Nations engagement risks,Medium
