"Vendor","Date","Amount","Currency","Description","Entity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Siteground","10/10/2025","145","AUD","1 year GrowBig Hosting carlorbiz.com.au","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Anthropic","8/26/2025","20","USD","Claude Pro Subscription","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cerebras","11/7/2025","10","USD","Cerebras API Usage","MTMOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Consensus","12/12/2025","120","USD","Pro annual subscription","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YouMind","12/9/2025","100","USD","YouMind Pro annual subscription","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hume AI","12/8/2025","20","USD","Monthly TTS subscription","MTMOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gamma","8/29/2025","15","USD","Gamma Pro Subscription","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Speechify","8/4/2025","139","USD","Speechify Premium Annual","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blitzit","11/30/2025","107.82","AUD","Early Access Lifetime subscription","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cloudflare","12/27/2025","30","USD","Cloudflare purchase confirmation","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AWS","11/1/2025","0","USD","AWS Billing Statement","MTMOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OpenAI","8/18/2025","110","USD","OpenAI API account funded","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Railway","12/24/2025","12.85","USD","Railway Pro Plan Subscription","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Railway","10/19/2025","5","USD","Railway Hobby Plan Subscription","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"xAI/Grok","11/24/2025","50","AUD","SuperGrok (Monthly) - Apple Subscription","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Manus","11/23/2025","299","AUD","Manus Pro (Monthly) - Apple Subscription","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Anthropic","8/10/2025","21","USD","Claude Max (Claude by Anthropic) - Google Play Subscription","Carlorbiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Descript","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Office 365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Workspace","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
